"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","AUT","Austria","2015","2015",5074.4303,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","AUT","Austria","2016","2016",5401.30362,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","AUT","Austria","2017","2017",5416.8937,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","AUT","Austria","2018","2018",5683.24278,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","AUT","Austria","2019","2019",5959.54993,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","AUT","Austria","2020","2020",5829.83733,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","AUT","Austria","2021","2021",6341.73871,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BEL","Belgium","2015","2015",4741.86029,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BEL","Belgium","2016","2016",4811.19473,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BEL","Belgium","2017","2017",4757.92552,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BEL","Belgium","2018","2018",5032.36782,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BEL","Belgium","2019","2019",5280.4219,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BEL","Belgium","2020","2020",5410.83206,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","BEL","Belgium","2021","2021",6581.89232,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CAN","Canada","2015","2015",4582.37923,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CAN","Canada","2016","2016",4428.17296,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CAN","Canada","2017","2017",4467.15612,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CAN","Canada","2018","2018",4758.10247,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CAN","Canada","2019","2019",4894.20732,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CAN","Canada","2020","2020",5076.24404,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CZE","Czechia","2015","2015",3619.29262,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CZE","Czechia","2016","2016",3547.21523,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CZE","Czechia","2017","2017",3721.12215,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CZE","Czechia","2018","2018",3911.20711,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CZE","Czechia","2019","2019",4033.88589,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CZE","Czechia","2020","2020",4194.94528,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","CZE","Czechia","2021","2021",4568.60692,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DNK","Denmark","2015","2015",7561.01682,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DNK","Denmark","2016","2016",7873.96871,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DNK","Denmark","2017","2017",7683.44205,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DNK","Denmark","2018","2018",7635.77738,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DNK","Denmark","2019","2019",7727.23923,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DNK","Denmark","2020","2020",7667.30376,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DNK","Denmark","2021","2021",7707.72522,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FIN","Finland","2015","2015",6856.33475,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FIN","Finland","2016","2016",6543.96586,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FIN","Finland","2017","2017",6731.79223,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FIN","Finland","2018","2018",6872.98388,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FIN","Finland","2019","2019",7246.27201,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FIN","Finland","2020","2020",7548.50264,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FIN","Finland","2021","2021",7870.6534,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FRA","France","2015","2015",4386.23641,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FRA","France","2016","2016",4467.42812,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FRA","France","2017","2017",4624.69676,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FRA","France","2018","2018",4756.58412,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FRA","France","2019","2019",4870.45612,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FRA","France","2020","2020",4986.1801,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","FRA","France","2021","2021",5175.00557,,
"RESDEN_INHAB_TFTE","Researchers per million inhabitants (FTE)","DEU","Germany","2015","2015",4733.35858,,
